"start";"end";"today";"Nombre de la Unidad Educativa";"Descripción";"Ubicación";"_Ubicación_latitude";"_Ubicación_longitude";"_Ubicación_altitude";"_Ubicación_precision";"Tipo de dependencia";"Tipo de dependencia/Fiscal";"Tipo de dependencia/Privado";"Tipo de dependencia/Convenio";"Turno";"Turno/Mañana";"Turno/Tarde";"Turno/Noche";"Niveles";"Niveles/Inicial";"Niveles/Primario";"Niveles/Secundario";"Foto";"Foto_URL";"Tipo";"Tipo/Fiscal";"Tipo/Privado";"Tipo/Convenio";"Mensualidad";"Area";"Frente";"start-geopoint";"_start-geopoint_latitude";"_start-geopoint_longitude";"_start-geopoint_altitude";"_start-geopoint_precision";"username";"deviceid";"phonenumber";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"_index"
"2025-03-28T18:30:17.798-04:00";"2025-03-31T22:05:06.945-04:00";"2025-03-27";"AVE MARÍA FUNDACIÓN MANOS ABIERTAS VIRGEN DE LA NATIVIDAD";"https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730922";"-16.47423 -68.117591 3756.09 10.8";"-16.47423";"-68.117591";"3756.09";"10.8";"";"";"";"";"";"";"";"";"";"";"";"";"Ave-22_5_1.jpg";"https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Ff6760776-2648-4548-a090-49a4e9c30ea6%2FAve-22_5_1.jpg";"Privado";"0";"1";"0";"";"";"";"-16.50604 -68.126852 3589.000244140625 21.0049991607666";"-16.50604";"-68.126852";"3589.000244140625";"21.0049991607666";"username not found";"ee.kobotoolbox.org:lNzBS6V8FPw2CQiE";"phonenumber not found";"457573291";"f6760776-2648-4548-a090-49a4e9c30ea6";"2025-03-28T22:35:21";"";"";"submitted_via_web";"";"vDjpA9bnrPCZMmszWgXagg";"";"1"
"2025-03-28T18:35:20.739-04:00";"2025-03-28T18:41:06.045-04:00";"2025-03-27";"RENE ZAMORA";"https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730213";"-16.4755119 -68.1211406 3752.39 6.59";"-16.4755119";"-68.1211406";"3752.39";"6.59";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fiscal";"1";"0";"0";"";"";"";"-16.506075 -68.126961 3589.000244140625 44.64799880981445";"-16.506075";"-68.126961";"3589.000244140625";"44.64799880981445";"username not found";"ee.kobotoolbox.org:lNzBS6V8FPw2CQiE";"phonenumber not found";"457574102";"38ee665b-193f-4ae0-9f02-75bdaa69c775";"2025-03-28T22:41:06";"";"";"submitted_via_web";"";"vDjpA9bnrPCZMmszWgXagg";"";"2"
"2025-03-28T18:41:06.078-04:00";"2025-03-31T22:11:43.025-04:00";"2025-03-27";"Hernando Siles I";"https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730218";"-16.4756901 -68.1210189 3749.59 5.54";"-16.4756901";"-68.1210189";"3749.59";"5.54";"";"";"";"";"";"";"";"";"";"";"";"";"pt_hernando_siles__20250328_170402_6508123048890620161-18_45_26.jpg";"https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Feb5d60b4-3008-410c-b91b-144c18d58da8%2Fpt_hernando_siles__20250328_170402_6508123048890620161-18_45_26.jpg";"Fiscal";"1";"0";"0";"";"";"";"-16.50611 -68.127024 3590.2001953125 33.79399871826172";"-16.50611";"-68.127024";"3590.2001953125";"33.79399871826172";"username not found";"ee.kobotoolbox.org:lNzBS6V8FPw2CQiE";"phonenumber not found";"457574608";"c703d890-c36a-4e51-ac6e-6b1c4b59ea90";"2025-03-28T22:45:42";"";"";"submitted_via_web";"";"vDjpA9bnrPCZMmszWgXagg";"";"3"
"2025-03-28T18:45:41.006-04:00";"2025-03-28T18:50:29.148-04:00";"2025-03-27";"HERNANDO SILES REYES";"https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730219";"-16.4756901 -68.1210189 3749.59 5.54";"-16.4756901";"-68.1210189";"3749.59";"5.54";"";"";"";"";"";"";"";"";"";"";"";"";"pt_simon_rodriguez__20250328_170439_8030783753906404031-18_49_50.jpg";"https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F2ce96fa2-79aa-4918-9429-680cc0525bc8%2Fpt_simon_rodriguez__20250328_170439_8030783753906404031-18_49_50.jpg";"Fiscal";"1";"0";"0";"";"";"";"-16.506089 -68.126846 3589.000244140625 19.719999313354492";"-16.506089";"-68.126846";"3589.000244140625";"19.719999313354492";"username not found";"ee.kobotoolbox.org:lNzBS6V8FPw2CQiE";"phonenumber not found";"457575180";"2ce96fa2-79aa-4918-9429-680cc0525bc8";"2025-03-28T22:50:30";"";"";"submitted_via_web";"";"vDjpA9bnrPCZMmszWgXagg";"";"4"
"2025-03-28T18:50:29.209-04:00";"2025-03-28T19:00:18.378-04:00";"2025-03-27";"SIMON RODRIGUEZ CARREÑO A";"https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730562";"-16.4756901 -68.1210189 3749.59 5.54";"-16.4756901";"-68.1210189";"3749.59";"5.54";"";"";"";"";"";"";"";"";"";"";"";"";"pt_hernando_siles__20250328_170402_6508123048890620161-18_59_51.jpg";"https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F34ec7452-2641-4152-88f4-5746701d65e1%2Fpt_hernando_siles__20250328_170402_6508123048890620161-18_59_51.jpg";"Fiscal";"1";"0";"0";"";"";"";"-16.50605 -68.126848 3589.900146484375 20.57200050354004";"-16.50605";"-68.126848";"3589.900146484375";"20.57200050354004";"username not found";"ee.kobotoolbox.org:lNzBS6V8FPw2CQiE";"phonenumber not found";"457576483";"34ec7452-2641-4152-88f4-5746701d65e1";"2025-03-28T23:00:19";"";"";"submitted_via_web";"";"vDjpA9bnrPCZMmszWgXagg";"";"5"
"2025-03-28T19:00:22.361-04:00";"2025-03-28T19:03:17.323-04:00";"2025-03-27";"Unidad Educativa Agustin Azpiazu";"https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730468";"-16.50779914856 -68.129577636719 0 0";"-16.50779914856";"-68.129577636719";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fiscal";"1";"0";"0";"";"";"";"";"";"";"";"";"username not found";"ee.kobotoolbox.org:EerG1Rk0lldmTwBR";"phonenumber not found";"457576923";"acde7f6d-b28b-4180-9e9b-9b4f8aa22963";"2025-03-28T23:03:23";"";"";"submitted_via_web";"";"vYtV96ZPoQpbPeiuPBnYNz";"";"6"
"2025-03-28T19:03:17.359-04:00";"2025-03-28T19:04:11.000-04:00";"2025-03-27";"Republica del Perú";"https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730462";"-16.506560769893 -68.128680959344 0 0";"-16.506560769893";"-68.128680959344";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fiscal";"1";"0";"0";"";"";"";"";"";"";"";"";"username not found";"ee.kobotoolbox.org:EerG1Rk0lldmTwBR";"phonenumber not found";"457577063";"3b9d7e75-ed4d-4560-a88e-3cebd8dce246";"2025-03-28T23:04:11";"";"";"submitted_via_web";"";"vYtV96ZPoQpbPeiuPBnYNz";"";"7"
"2025-03-28T19:04:11.027-04:00";"2025-03-28T19:06:10.999-04:00";"2025-03-27";"Max Paredes 1";"https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730587";"-16.506560769893 -68.128680959344 0 0";"-16.506560769893";"-68.128680959344";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fiscal";"1";"0";"0";"";"";"";"";"";"";"";"";"username not found";"ee.kobotoolbox.org:EerG1Rk0lldmTwBR";"phonenumber not found";"457577236";"6ecd91a1-f49b-4639-9539-61f722be4a04";"2025-03-28T23:06:11";"";"";"submitted_via_web";"";"vYtV96ZPoQpbPeiuPBnYNz";"";"8"
"2025-03-28T19:06:20.640-04:00";"2025-03-28T19:06:47.882-04:00";"2025-03-27";"Beata Placida 1";"https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730501";"-16.5076007843018 -68.127815246582 0 0";"-16.5076007843018";"-68.127815246582";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fiscal";"1";"0";"0";"";"";"";"";"";"";"";"";"username not found";"ee.kobotoolbox.org:EerG1Rk0lldmTwBR";"phonenumber not found";"457577301";"8b22dcfb-8a41-48b2-bf86-1208346c8e47";"2025-03-28T23:06:48";"";"";"submitted_via_web";"";"vYtV96ZPoQpbPeiuPBnYNz";"";"9"
"2025-03-28T19:00:18.449-04:00";"2025-03-31T22:13:16.819-04:00";"2025-03-27";"SIMON RODRIGUEZ CARREÑO B";"https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730678";"-16.4756901 -68.1210189 3749.59 5.54";"-16.4756901";"-68.1210189";"3749.59";"5.54";"";"";"";"";"";"";"";"";"";"";"";"";"pt_hernando_siles__20250328_170402_6508123048890620161-19_6_7.jpg";"https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F491a3eb7-99d2-40dc-95fb-a2597feb3efc%2Fpt_hernando_siles__20250328_170402_6508123048890620161-19_6_7.jpg";"Fiscal";"1";"0";"0";"";"";"";"-16.506093 -68.126746 3589.000244140625 20.20400047302246";"-16.506093";"-68.126746";"3589.000244140625";"20.20400047302246";"username not found";"ee.kobotoolbox.org:lNzBS6V8FPw2CQiE";"phonenumber not found";"457577461";"6b66ad87-4abf-4c24-9b8c-5430611e37b9";"2025-03-28T23:07:41";"";"";"submitted_via_web";"";"vYtV96ZPoQpbPeiuPBnYNz";"";"10"
