nombre,url,latitude,longitude,dependencia,turno,nivel,foto_url,telefono
AVE MARÍA FUNDACIÓN MANOS ABIERTAS VIRGEN DE LA NATIVIDAD,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730922,-16.47423,-68.117591,PRIVADO,MAÑANA,Inicial/Primaria/Secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Ff6760776-2648-4548-a090-49a4e9c30ea6%2FAve-22_5_1.jpg, / 
RENE ZAMORA,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730213,-16.4755119,-68.1211406,FISCAL,NOCHE,Primaria/Secundaria,,76523078  /
Hernando Siles I,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730218,-16.4756901,-68.1210189,FISCAL,MAÑANA,Inicial,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Feb5d60b4-3008-410c-b91b-144c18d58da8%2Fpt_hernando_siles__20250328_170402_6508123048890620161-18_45_26.jpg,2214817 / 72502270
HERNANDO SILES REYES,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730219,-16.4756901,-68.1210189,FISCAL,MAÑANA,Primaria/Secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F2ce96fa2-79aa-4918-9429-680cc0525bc8%2Fpt_simon_rodriguez__20250328_170439_8030783753906404031-18_49_50.jpg,2211944 / 71939997
SIMON RODRIGUEZ CARREÑO A,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730562,-16.4756901,-68.1210189,FISCAL,TARDE,Inicial,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F34ec7452-2641-4152-88f4-5746701d65e1%2Fpt_hernando_siles__20250328_170402_6508123048890620161-18_59_51.jpg,60642885 / 
Unidad Educativa Agustin Azpiazu,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730468,-16.50779914856,-68.129577636719,FISCAL,MAÑANA,Primaria/Secundaria,,2422991 / 70523786
Republica del Perú,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730462,-16.506560769893,-68.128680959344,FISCAL,TARDE,Primaria/Secundaria,,2442836 / 60149649
Max Paredes 1,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730587,-16.506560769893,-68.128680959344,FISCAL,MAÑANA,Primaria,,2442802 / 
Beata Placida 1,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730501,-16.5076007843018,-68.127815246582,FISCAL,TARDE,Inicial,,2440658 / 70190689
SIMON RODRIGUEZ CARREÑO B,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730678,-16.4756901,-68.1210189,FISCAL,TARDE,Primaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F491a3eb7-99d2-40dc-95fb-a2597feb3efc%2Fpt_hernando_siles__20250328_170402_6508123048890620161-19_6_7.jpg,2210282 / 72537125
Beata Placida 2,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730725,-16.5076007843018,-68.127815246582,PRIVADO,MAÑANA,Inicial,,2440658 / 70190689
Claudio Sanjines,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730469,-16.50779914856,-68.129577636719,FISCAL,TARDE,Primaria/Secundaria,,79601843 / 
Bolivia II,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730630,-16.50779914856,-68.129577636719,FISCAL,NOCHE,Secundaria,,65100910 / 
SIMON RODRIGUEZ CARREÑO,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730561,-16.4756901,-68.1210189,FISCAL,TARDE,Secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F7f846bbc-b8af-4fa5-9712-5fd1287e1f85%2Fpt_simon_rodriguez__20250328_170439_8030783753906404031-19_10_17.jpg,2213549 / 71561702
Macario Pinilla,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730466,-16.5081996917725,-68.1313323974609,FISCAL,MAÑANA,Inicial,,2440822 / 69844888
Juancito Pinto,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730467,-16.5081996917725,-68.1313323974609,FISCAL,TARDE,Inicial,,2441834 / 76293311
Desmaissieres rr adoratrices,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730487,-16.508499145508,-68.132049560547,PRIVADO,MAÑANA,Inicial/Primaria/Secundaria,,2415656 / 2004322
Cidei,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730896,-16.5097968241642,-68.128564953804,PRIVADO,MAÑANA,Inicial,, / 
NUESTRA SEÑORA DE FATIMA,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730248,-16.4761652,-68.1211524,PRIVADO,MAÑANA,Inicial/Primaria/Secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Ff9442c53-e845-4306-b337-dc4ab81eee6f%2Fpt_liceo_20250328_170540_1324240897907538514-19_13_26.jpg,2210762 / 77213385
Republica de Colombia,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730463,-16.508499145508,-68.126983642578,FISCAL,TARDE,Primaria/Secundaria,,22443913 / 70568478
Republica del Ecuador,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730464,-16.508499145508,-68.126983642578,FISCAL,MAÑANA,Primaria/Secundaria,,2442811 / 
Santa Rosa La Florida A,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730334,-16.545753923568427,-68.091560463471,FISCAL,MAÑANA,Inicial/Primaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F570e4af9-b0ef-4d96-9161-d0ef266e2829%2F1000043239-19_15_22.jpg,2771320 / 70102443
La Salle B,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730715,-16.548492022158598,-68.08968951999174,PRIVADO,MAÑANA,Inicial/Primaria/Secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Fbe205508-21ed-4121-92c3-36c17ffbfa31%2FCaptura_de_pantalla_2025-04-03_080957-8_11_27.png,2795274 / 2791725
Yachaykuna,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730759,-16.53934714197017,-68.07867665962864,PRIVADO,MAÑANA,Inicial/Primaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F4e881129-bf71-48d4-8d92-cbae1007bb16%2FCaptura_de_pantalla_2025-04-03_081954-8_20_2.png,2750859 / 70581553
Saint Andrew's School,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730356,-16.549032174653227,-68.08775539089697,PRIVADO,MAÑANA,Inicial/Primaria/Secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Fdedc7e49-6a66-4294-a784-88fcff7ee275%2FCaptura_de_pantalla_2025-04-03_081451-8_14_59.png,2792484 / 2794397
SAINT ANDREWS,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730356,-16.548807208963947,-68.08628254538925,PRIVADO,MAÑANA,Inicial/Primaria/Secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F571b755b-8b4a-433b-b356-d6d4959f37d4%2FCaptura_de_pantalla_2025-04-03_080601-8_6_12.png,2792484 / 2794397
Loretto,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730932,-16.54532031777888,-68.07861949180938,PRIVADO,MAÑANA,Inicial/Primaria/Secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F1d54f608-62d4-4665-a58e-3dfb04e48767%2FCaptura_de_pantalla_2025-04-03_080014-8_0_28.png, / 
Los pinos,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730364,-16.541627792570267,-68.07642602570618,PRIVADO,MAÑANA,Inicial/Primaria/Secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F158eadac-0056-446b-9cdd-a5be28ad059d%2FCaptura_de_pantalla_2025-04-03_075518-7_55_43.png,2795063 / 2795675
Rene Barrientos Ortuño A,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730621,-16.538863048402035,-68.07806709698734,FISCAL,TARDE,Secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F6139f392-b168-4804-92c5-5dfcfe789861%2FCaptura_de_pantalla_2025-04-03_082747-8_31_26.png,2774319 / 72068841
Julio Cesar Patiño B,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730623,-16.53812644647466,-68.07779309146791,FISCAL,MAÑANA,Primaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F721ead30-68cc-4164-84f6-379684097412%2FCaptura_de_pantalla_2025-04-03_082849-8_30_45.png,76240882 / 
San Andres A,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730325,-16.538022276915484,-68.0710285634106,FISCAL,MAÑANA,Secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Fdf0196a2-7144-41aa-98ca-690c60ee378e%2FCaptura_de_pantalla_2025-04-03_083442-8_34_50.png,2793179 / 
Cumbre,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730347,-16.538584,-68.071073,PRIVADO,MAÑANA,Primaria/Secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F7a41265f-1033-4a71-a39b-c592744faf1e%2FCaptura_de_pantalla_2025-04-03_083205-8_32_32.png,2770606 / 70577476
JOSE MARTI,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730404,-16.5013418,-68.1317216,FISCAL,TARDE,Secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F80db7842-bd64-467a-a7fc-e9b9feaddbff%2FIMG-20250328-WA0004-19_52_29.jpg,77718099 / 72533811
REPUBLICA DE ARGENTINA,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730405,-16.501600265503,-68.131828308105,FISCAL,MAÑANA,Primaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F490b52a1-418f-475d-ad31-e69e417468e8%2FIMG-20250328-WA0004-19_55_34.jpg,2368810 / 79683119
San Andres B,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730326,-16.537977280054598,-68.0710198462307,FISCAL,TARDE,Inicial/Primaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Fd51d9836-1d39-4930-be3e-b61906b2f209%2FCaptura_de_pantalla_2025-04-03_083442-8_34_59.png,2793179 / 71595065
Julio Cesar Patiño C,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730624,-16.53812644647466,-68.07779309146791,FISCAL,TARDE,Primaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F5a83109f-7c7f-44d0-b5d2-c5aafc722037%2FCaptura_de_pantalla_2025-04-03_082849-8_29_55.png,2796358 / 78831567
Julio Cesar Patiño A,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730622,-16.537687924252044,-68.07778230649076,FISCAL,MAÑANA,Inicial,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F9e2e561b-7f69-455f-b3e1-ad0d33fa5c4f%2FCaptura_de_pantalla_2025-04-03_082849-8_29_32.png,71842234 / 
