nombre,latitud,longitud,dependencia,turno,nivel,foto_url,telefono,url,año,matricula_total,matricula_mujer,matricula_hombre,promovidos_total,promovidos_mujer,promovidos_hombre,reprobados_total,reprobados_mujer,reprobados_hombre,abandono_total,abandono_mujer,abandono_hombre
Ave María Fundación Manos Abiertas Virgen De La Natividad,-16.47423,-68.117591,privado,mañana,inicial primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Ff6760776-2648-4548-a090-49a4e9c30ea6%2FAve-22_5_1.jpg, ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730922,2018,0,0,0,0,0,0,0,0,0,0,0,0
Ave María Fundación Manos Abiertas Virgen De La Natividad,-16.47423,-68.117591,privado,mañana,inicial primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Ff6760776-2648-4548-a090-49a4e9c30ea6%2FAve-22_5_1.jpg, ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730922,2019,0,0,0,0,0,0,0,0,0,0,0,0
Ave María Fundación Manos Abiertas Virgen De La Natividad,-16.47423,-68.117591,privado,mañana,inicial primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Ff6760776-2648-4548-a090-49a4e9c30ea6%2FAve-22_5_1.jpg, ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730922,2020,0,0,0,0,0,0,0,0,0,0,0,0
Ave María Fundación Manos Abiertas Virgen De La Natividad,-16.47423,-68.117591,privado,mañana,inicial primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Ff6760776-2648-4548-a090-49a4e9c30ea6%2FAve-22_5_1.jpg, ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730922,2021,0,0,0,0,0,0,0,0,0,0,0,0
Ave María Fundación Manos Abiertas Virgen De La Natividad,-16.47423,-68.117591,privado,mañana,inicial primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Ff6760776-2648-4548-a090-49a4e9c30ea6%2FAve-22_5_1.jpg, ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730922,2022,745,356,389,733,354,379,10,1,9,2,1,1
Ave María Fundación Manos Abiertas Virgen De La Natividad,-16.47423,-68.117591,privado,mañana,inicial primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Ff6760776-2648-4548-a090-49a4e9c30ea6%2FAve-22_5_1.jpg, ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730922,2023,764,373,391,746,370,376,17,3,14,1,0,1
Rene Zamora,-16.4755119,-68.1211406,fiscal,noche,primaria secundaria,,76523078 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730213,2018,0,0,0,0,0,0,0,0,0,0,0,0
Rene Zamora,-16.4755119,-68.1211406,fiscal,noche,primaria secundaria,,76523078 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730213,2019,251,87,164,171,62,109,10,0,10,70,25,45
Rene Zamora,-16.4755119,-68.1211406,fiscal,noche,primaria secundaria,,76523078 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730213,2020,205,70,135,0,0,0,0,0,0,0,0,0
Rene Zamora,-16.4755119,-68.1211406,fiscal,noche,primaria secundaria,,76523078 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730213,2021,184,66,118,153,58,95,31,8,23,0,0,0
Rene Zamora,-16.4755119,-68.1211406,fiscal,noche,primaria secundaria,,76523078 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730213,2022,151,56,95,116,46,70,24,6,18,11,4,7
Rene Zamora,-16.4755119,-68.1211406,fiscal,noche,primaria secundaria,,76523078 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730213,2023,150,58,92,114,49,65,28,7,21,8,2,6
Hernando Siles I,-16.4756901,-68.1210189,fiscal,mañana,inicial,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Feb5d60b4-3008-410c-b91b-144c18d58da8%2Fpt_hernando_siles__20250328_170402_6508123048890620161-18_45_26.jpg,2214817 72502270,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730218,2018,0,0,0,0,0,0,0,0,0,0,0,0
Hernando Siles I,-16.4756901,-68.1210189,fiscal,mañana,inicial,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Feb5d60b4-3008-410c-b91b-144c18d58da8%2Fpt_hernando_siles__20250328_170402_6508123048890620161-18_45_26.jpg,2214817 72502270,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730218,2019,257,131,126,257,131,126,0,0,0,0,0,0
Hernando Siles I,-16.4756901,-68.1210189,fiscal,mañana,inicial,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Feb5d60b4-3008-410c-b91b-144c18d58da8%2Fpt_hernando_siles__20250328_170402_6508123048890620161-18_45_26.jpg,2214817 72502270,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730218,2020,257,124,133,0,0,0,0,0,0,0,0,0
Hernando Siles I,-16.4756901,-68.1210189,fiscal,mañana,inicial,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Feb5d60b4-3008-410c-b91b-144c18d58da8%2Fpt_hernando_siles__20250328_170402_6508123048890620161-18_45_26.jpg,2214817 72502270,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730218,2021,258,111,147,258,111,147,0,0,0,0,0,0
Hernando Siles I,-16.4756901,-68.1210189,fiscal,mañana,inicial,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Feb5d60b4-3008-410c-b91b-144c18d58da8%2Fpt_hernando_siles__20250328_170402_6508123048890620161-18_45_26.jpg,2214817 72502270,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730218,2022,238,105,133,237,105,132,0,0,0,1,0,1
Hernando Siles I,-16.4756901,-68.1210189,fiscal,mañana,inicial,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Feb5d60b4-3008-410c-b91b-144c18d58da8%2Fpt_hernando_siles__20250328_170402_6508123048890620161-18_45_26.jpg,2214817 72502270,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730218,2023,231,109,122,230,109,121,0,0,0,1,0,1
Hernando Siles Reyes,-16.4756901,-68.1210189,fiscal,mañana,primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F2ce96fa2-79aa-4918-9429-680cc0525bc8%2Fpt_simon_rodriguez__20250328_170439_8030783753906404031-18_49_50.jpg,2211944 71939997,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730219,2018,0,0,0,0,0,0,0,0,0,0,0,0
Hernando Siles Reyes,-16.4756901,-68.1210189,fiscal,mañana,primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F2ce96fa2-79aa-4918-9429-680cc0525bc8%2Fpt_simon_rodriguez__20250328_170439_8030783753906404031-18_49_50.jpg,2211944 71939997,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730219,2019,1595,784,811,1560,770,790,21,7,14,14,7,7
Hernando Siles Reyes,-16.4756901,-68.1210189,fiscal,mañana,primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F2ce96fa2-79aa-4918-9429-680cc0525bc8%2Fpt_simon_rodriguez__20250328_170439_8030783753906404031-18_49_50.jpg,2211944 71939997,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730219,2020,1623,801,822,0,0,0,0,0,0,0,0,0
Hernando Siles Reyes,-16.4756901,-68.1210189,fiscal,mañana,primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F2ce96fa2-79aa-4918-9429-680cc0525bc8%2Fpt_simon_rodriguez__20250328_170439_8030783753906404031-18_49_50.jpg,2211944 71939997,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730219,2021,1612,803,809,1580,788,792,25,12,13,7,3,4
Hernando Siles Reyes,-16.4756901,-68.1210189,fiscal,mañana,primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F2ce96fa2-79aa-4918-9429-680cc0525bc8%2Fpt_simon_rodriguez__20250328_170439_8030783753906404031-18_49_50.jpg,2211944 71939997,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730219,2022,1588,778,810,1569,770,799,15,5,10,4,3,1
Hernando Siles Reyes,-16.4756901,-68.1210189,fiscal,mañana,primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F2ce96fa2-79aa-4918-9429-680cc0525bc8%2Fpt_simon_rodriguez__20250328_170439_8030783753906404031-18_49_50.jpg,2211944 71939997,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730219,2023,1620,780,840,1574,765,809,40,13,27,6,2,4
Simon Rodriguez Carreño A,-16.4756901,-68.1210189,fiscal,tarde,inicial,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F34ec7452-2641-4152-88f4-5746701d65e1%2Fpt_hernando_siles__20250328_170402_6508123048890620161-18_59_51.jpg,60642885 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730562,2018,0,0,0,0,0,0,0,0,0,0,0,0
Simon Rodriguez Carreño A,-16.4756901,-68.1210189,fiscal,tarde,inicial,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F34ec7452-2641-4152-88f4-5746701d65e1%2Fpt_hernando_siles__20250328_170402_6508123048890620161-18_59_51.jpg,60642885 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730562,2019,239,115,124,233,112,121,0,0,0,6,3,3
Simon Rodriguez Carreño A,-16.4756901,-68.1210189,fiscal,tarde,inicial,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F34ec7452-2641-4152-88f4-5746701d65e1%2Fpt_hernando_siles__20250328_170402_6508123048890620161-18_59_51.jpg,60642885 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730562,2020,230,109,121,0,0,0,0,0,0,0,0,0
Simon Rodriguez Carreño A,-16.4756901,-68.1210189,fiscal,tarde,inicial,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F34ec7452-2641-4152-88f4-5746701d65e1%2Fpt_hernando_siles__20250328_170402_6508123048890620161-18_59_51.jpg,60642885 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730562,2021,226,118,108,226,118,108,0,0,0,0,0,0
Simon Rodriguez Carreño A,-16.4756901,-68.1210189,fiscal,tarde,inicial,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F34ec7452-2641-4152-88f4-5746701d65e1%2Fpt_hernando_siles__20250328_170402_6508123048890620161-18_59_51.jpg,60642885 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730562,2022,198,104,94,197,103,94,0,0,0,1,1,0
Simon Rodriguez Carreño A,-16.4756901,-68.1210189,fiscal,tarde,inicial,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F34ec7452-2641-4152-88f4-5746701d65e1%2Fpt_hernando_siles__20250328_170402_6508123048890620161-18_59_51.jpg,60642885 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730562,2023,194,89,105,192,87,105,0,0,0,2,2,0
Unidad Educativa Agustin Azpiazu,-16.50779914856,-68.129577636719,fiscal,mañana,primaria secundaria,,2422991 70523786,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730468,2018,0,0,0,0,0,0,0,0,0,0,0,0
Unidad Educativa Agustin Azpiazu,-16.50779914856,-68.129577636719,fiscal,mañana,primaria secundaria,,2422991 70523786,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730468,2019,1032,530,502,1012,529,483,17,1,16,3,0,3
Unidad Educativa Agustin Azpiazu,-16.50779914856,-68.129577636719,fiscal,mañana,primaria secundaria,,2422991 70523786,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730468,2020,1003,533,470,0,0,0,0,0,0,0,0,0
Unidad Educativa Agustin Azpiazu,-16.50779914856,-68.129577636719,fiscal,mañana,primaria secundaria,,2422991 70523786,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730468,2021,1046,557,489,1029,553,476,17,4,13,0,0,0
Unidad Educativa Agustin Azpiazu,-16.50779914856,-68.129577636719,fiscal,mañana,primaria secundaria,,2422991 70523786,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730468,2022,1037,533,504,984,508,476,50,23,27,3,2,1
Unidad Educativa Agustin Azpiazu,-16.50779914856,-68.129577636719,fiscal,mañana,primaria secundaria,,2422991 70523786,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730468,2023,1038,544,494,1008,530,478,26,12,14,4,2,2
