rude,año,matricula_total,matricula_mujer,matricula_hombre,promovidos_total,promovidos_mujer,promovidos_hombre,reprobados_total,reprobados_mujer,reprobados_hombre,abandono_total,abandono_mujer,abandono_hombre
80730922,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730922,2019,0,0,0,0,0,0,0,0,0,0,0,0
80730922,2020,0,0,0,0,0,0,0,0,0,0,0,0
80730922,2021,0,0,0,0,0,0,0,0,0,0,0,0
80730922,2022,745,356,389,733,354,379,10,1,9,2,1,1
80730922,2023,764,373,391,746,370,376,17,3,14,1,0,1
80730213,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730213,2019,251,87,164,171,62,109,10,0,10,70,25,45
80730213,2020,205,70,135,0,0,0,0,0,0,0,0,0
80730213,2021,184,66,118,153,58,95,31,8,23,0,0,0
80730213,2022,151,56,95,116,46,70,24,6,18,11,4,7
80730213,2023,150,58,92,114,49,65,28,7,21,8,2,6
80730218,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730218,2019,257,131,126,257,131,126,0,0,0,0,0,0
80730218,2020,257,124,133,0,0,0,0,0,0,0,0,0
80730218,2021,258,111,147,258,111,147,0,0,0,0,0,0
80730218,2022,238,105,133,237,105,132,0,0,0,1,0,1
80730218,2023,231,109,122,230,109,121,0,0,0,1,0,1
80730219,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730219,2019,1595,784,811,1560,770,790,21,7,14,14,7,7
80730219,2020,1623,801,822,0,0,0,0,0,0,0,0,0
80730219,2021,1612,803,809,1580,788,792,25,12,13,7,3,4
80730219,2022,1588,778,810,1569,770,799,15,5,10,4,3,1
80730219,2023,1620,780,840,1574,765,809,40,13,27,6,2,4
80730562,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730562,2019,239,115,124,233,112,121,0,0,0,6,3,3
80730562,2020,230,109,121,0,0,0,0,0,0,0,0,0
80730562,2021,226,118,108,226,118,108,0,0,0,0,0,0
80730562,2022,198,104,94,197,103,94,0,0,0,1,1,0
80730562,2023,194,89,105,192,87,105,0,0,0,2,2,0
80730468,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730468,2019,1032,530,502,1012,529,483,17,1,16,3,0,3
80730468,2020,1003,533,470,0,0,0,0,0,0,0,0,0
80730468,2021,1046,557,489,1029,553,476,17,4,13,0,0,0
80730468,2022,1037,533,504,984,508,476,50,23,27,3,2,1
80730468,2023,1038,544,494,1008,530,478,26,12,14,4,2,2
80730462,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730462,2019,228,109,119,215,104,111,10,3,7,3,2,1
80730462,2020,267,132,135,0,0,0,0,0,0,0,0,0
80730462,2021,295,150,145,257,134,123,7,3,4,31,13,18
80730462,2022,279,153,126,246,143,103,21,4,17,12,6,6
80730462,2023,252,138,114,226,126,100,17,7,10,9,5,4
80730587,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730587,2019,277,147,130,272,147,125,0,0,0,5,0,5
80730587,2020,293,151,142,0,0,0,0,0,0,0,0,0
80730587,2021,305,166,139,302,165,137,3,1,2,0,0,0
80730587,2022,290,162,128,288,162,126,2,0,2,0,0,0
