,nombre,latitud,longitud,dependencia,turno,nivel,foto_url,telefono,url,año,matricula_total,matricula_mujer,matricula_hombre,promovidos_total,promovidos_mujer,promovidos_hombre,reprobados_total,reprobados_mujer,reprobados_hombre,abandono_total,abandono_mujer,abandono_hombre,rude
5,Ave María Fundación Manos Abiertas Virgen De La Natividad,-16.47423,-68.117591,privado,mañana,inicial primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Ff6760776-2648-4548-a090-49a4e9c30ea6%2FAve-22_5_1.jpg, ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730922,2023,764,373,391,746,370,376,17,3,14,1,0,1,80730922
11,Rene Zamora,-16.4755119,-68.1211406,fiscal,noche,primaria secundaria,,76523078 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730213,2023,150,58,92,114,49,65,28,7,21,8,2,6,80730213
17,Hernando Siles I,-16.4756901,-68.1210189,fiscal,mañana,inicial,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Feb5d60b4-3008-410c-b91b-144c18d58da8%2Fpt_hernando_siles__20250328_170402_6508123048890620161-18_45_26.jpg,2214817 72502270,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730218,2023,231,109,122,230,109,121,0,0,0,1,0,1,80730218
23,Hernando Siles Reyes,-16.4756901,-68.1210189,fiscal,mañana,primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F2ce96fa2-79aa-4918-9429-680cc0525bc8%2Fpt_simon_rodriguez__20250328_170439_8030783753906404031-18_49_50.jpg,2211944 71939997,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730219,2023,1620,780,840,1574,765,809,40,13,27,6,2,4,80730219
29,Simon Rodriguez Carreño A,-16.4756901,-68.1210189,fiscal,tarde,inicial,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F34ec7452-2641-4152-88f4-5746701d65e1%2Fpt_hernando_siles__20250328_170402_6508123048890620161-18_59_51.jpg,60642885 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730562,2023,194,89,105,192,87,105,0,0,0,2,2,0,80730562
35,Unidad Educativa Agustin Azpiazu,-16.50779914856,-68.129577636719,fiscal,mañana,primaria secundaria,,2422991 70523786,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730468,2023,1038,544,494,1008,530,478,26,12,14,4,2,2,80730468
41,Republica Del Perú,-16.506560769893,-68.128680959344,fiscal,tarde,primaria secundaria,,2442836 60149649,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730462,2023,252,138,114,226,126,100,17,7,10,9,5,4,80730462
47,Max Paredes 1,-16.506560769893,-68.128680959344,fiscal,mañana,primaria,,2442802 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730587,2023,260,136,124,260,136,124,0,0,0,0,0,0,80730587
53,Beata Placida 1,-16.5076007843018,-68.127815246582,fiscal,tarde,inicial,,2440658 70190689,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730501,2023,69,38,31,69,38,31,0,0,0,0,0,0,80730501
59,Simon Rodriguez Carreño B,-16.4756901,-68.1210189,fiscal,tarde,primaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F491a3eb7-99d2-40dc-95fb-a2597feb3efc%2Fpt_hernando_siles__20250328_170402_6508123048890620161-19_6_7.jpg,2210282 72537125,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730678,2023,691,307,384,680,302,378,2,1,1,9,4,5,80730678
